SignalType=Sawtooth
Amplitude=5
Frequency=5
PointsCount=1000
time	value
0	0
0.001	0.05
0.002	0.1
0.003	0.15
0.004	0.2
0.005	0.25
0.006	0.3
0.007	0.35000000000000003
0.008	0.4
0.009000000000000001	0.45000000000000007
0.01	0.5
0.011	0.5499999999999999
0.012	0.6
0.013000000000000001	0.65
0.014	0.7000000000000001
0.015	0.75
0.016	0.8
0.017	0.8500000000000001
0.018000000000000002	0.9000000000000001
0.019	0.95
0.02	1
0.021	1.05
0.022	1.0999999999999999
0.023	1.15
0.024	1.2
0.025	1.25
0.026000000000000002	1.3
0.027	1.35
0.028	1.4000000000000001
0.029	1.4500000000000002
0.03	1.5
0.031	1.55
0.032	1.6
0.033	1.6500000000000001
0.034	1.7000000000000002
0.035	1.7500000000000002
0.036000000000000004	1.8000000000000003
0.037	1.85
0.038	1.9
0.039	1.9500000000000002
0.04	2
0.041	2.0500000000000003
0.042	2.1
0.043000000000000003	2.1500000000000004
0.044	2.1999999999999997
0.045	2.25
0.046	2.3
0.047	2.3499999999999996
0.048	2.4
0.049	2.45
0.05	2.5
0.051000000000000004	2.55
0.052000000000000005	2.6
0.053	2.6500000000000004
0.054	2.7
0.055	2.75
0.056	2.8000000000000003
0.057	2.8500000000000005
0.058	2.9000000000000004
0.059000000000000004	2.95
0.06	3
0.061	3.05
0.062	3.1
0.063	3.15
0.064	3.2
0.065	3.25
0.066	3.3000000000000003
0.067	3.35
0.068	3.4000000000000004
0.069	3.45
0.07	3.5000000000000004
0.07100000000000001	3.5500000000000003
0.07200000000000001	3.6000000000000005
0.073	3.65
0.074	3.7
0.075	3.75
0.076	3.8
0.077	3.85
0.078	3.9000000000000004
0.079	3.95
0.08	4
0.081	4.050000000000001
0.082	4.1000000000000005
0.083	4.15
0.084	4.2
0.085	4.25
0.08600000000000001	4.300000000000001
0.08700000000000001	4.3500000000000005
0.088	4.3999999999999995
0.089	4.449999999999999
0.09	4.5
0.091	4.55
0.092	4.6
0.093	4.6499999999999995
0.094	4.699999999999999
0.095	4.75
0.096	4.8
0.097	4.85
0.098	4.9
0.099	4.95
0.1	-5
0.101	-4.95
0.10200000000000001	-4.9
0.10300000000000001	-4.85
0.10400000000000001	-4.8
0.105	-4.75
0.106	-4.699999999999999
0.107	-4.6499999999999995
0.108	-4.6
0.109	-4.55
0.11	-4.5
0.111	-4.449999999999999
0.112	-4.3999999999999995
0.113	-4.35
0.114	-4.299999999999999
0.115	-4.249999999999999
0.116	-4.199999999999999
0.117	-4.1499999999999995
0.11800000000000001	-4.1
0.11900000000000001	-4.049999999999999
0.12	-4
0.121	-3.95
0.122	-3.9000000000000004
0.123	-3.85
0.124	-3.8
0.125	-3.75
0.126	-3.7
0.127	-3.65
0.128	-3.5999999999999996
0.129	-3.55
0.13	-3.5
0.131	-3.4499999999999997
0.132	-3.3999999999999995
0.133	-3.3499999999999996
0.134	-3.3
0.135	-3.2499999999999996
0.136	-3.1999999999999993
0.137	-3.1499999999999995
0.138	-3.0999999999999996
0.139	-3.0499999999999994
0.14	-2.999999999999999
0.14100000000000001	-2.9499999999999993
0.14200000000000002	-2.8999999999999995
0.14300000000000002	-2.849999999999999
0.14400000000000002	-2.799999999999999
0.145	-2.75
0.146	-2.7
0.147	-2.6500000000000004
0.148	-2.6
0.149	-2.55
0.15	-2.5
0.151	-2.45
0.152	-2.4
0.153	-2.3499999999999996
0.154	-2.3
0.155	-2.25
0.156	-2.1999999999999997
0.157	-2.1499999999999995
0.158	-2.0999999999999996
0.159	-2.05
0.16	-1.9999999999999996
0.161	-1.9499999999999995
0.162	-1.8999999999999995
0.163	-1.8499999999999994
0.164	-1.7999999999999994
0.165	-1.7499999999999993
0.166	-1.6999999999999993
0.167	-1.6499999999999992
0.168	-1.5999999999999992
0.169	-1.5499999999999992
0.17	-1.4999999999999991
0.171	-1.449999999999999
0.17200000000000001	-1.399999999999999
0.17300000000000001	-1.349999999999999
0.17400000000000002	-1.299999999999999
0.17500000000000002	-1.249999999999999
0.176	-1.200000000000001
0.177	-1.15
0.178	-1.100000000000001
0.179	-1.0499999999999998
0.18	-1.0000000000000009
0.181	-0.9499999999999997
0.182	-0.9000000000000008
0.183	-0.8499999999999996
0.184	-0.8000000000000007
0.185	-0.7499999999999996
0.186	-0.7000000000000006
0.187	-0.6499999999999995
0.188	-0.6000000000000005
0.189	-0.5499999999999994
0.19	-0.5000000000000004
0.191	-0.4499999999999993
0.192	-0.40000000000000036
0.193	-0.3499999999999992
0.194	-0.30000000000000027
0.195	-0.2499999999999991
0.196	-0.20000000000000018
0.197	-0.14999999999999902
0.198	-0.10000000000000009
0.199	-0.049999999999998934
0.2	0
0.201	0.050000000000001155
0.202	0.10000000000000009
0.203	0.15000000000000124
0.20400000000000001	0.20000000000000018
0.20500000000000002	0.25000000000000133
0.20600000000000002	0.30000000000000027
0.20700000000000002	0.3500000000000014
0.20800000000000002	0.40000000000000036
0.209	0.4499999999999993
0.21	0.5000000000000004
0.211	0.5499999999999994
0.212	0.6000000000000005
0.213	0.6499999999999995
0.214	0.7000000000000006
0.215	0.7499999999999996
0.216	0.8000000000000007
0.217	0.8499999999999996
0.218	0.9000000000000008
0.219	0.9499999999999997
0.22	1.0000000000000009
0.221	1.0499999999999998
0.222	1.100000000000001
0.223	1.15
0.224	1.200000000000001
0.225	1.25
0.226	1.3000000000000012
0.227	1.35
0.228	1.4000000000000012
0.229	1.4500000000000002
0.23	1.5000000000000013
0.231	1.5500000000000003
0.232	1.6000000000000014
0.233	1.6500000000000004
0.234	1.7000000000000015
0.23500000000000001	1.7500000000000004
0.23600000000000002	1.8000000000000016
0.23700000000000002	1.8500000000000005
0.23800000000000002	1.9000000000000017
0.23900000000000002	1.9500000000000006
0.24	1.9999999999999996
0.241	2.0500000000000007
0.242	2.0999999999999996
0.243	2.1499999999999986
0.244	2.1999999999999997
0.245	2.250000000000001
0.246	2.3
0.247	2.3499999999999988
0.248	2.4
0.249	2.450000000000001
0.25	2.5
0.251	2.549999999999999
0.252	2.6
0.253	2.6500000000000012
0.254	2.7
0.255	2.749999999999999
0.256	2.8000000000000003
